Date,Close,Open,High,Low,Volume,Percentage_change
1-Mar-18,378.75,374,379,372,8.65K,1.13%
28-Feb-18,374.5,370.5,376.75,369.75,20.80K,1.08%
27-Feb-18,370.5,368.25,371,367.75,240.12K,0.54%
26-Feb-18,368.5,366.5,370,366.5,318.91K,0.61%
23-Feb-18,366.25,366.25,367.75,365.25,212.35K,-0.14%
22-Feb-18,366.75,365.5,367,364.25,229.12K,0.27%
21-Feb-18,365.75,365.75,368.5,364.25,266.66K,0.07%
20-Feb-18,365.5,369,370,365.25,319.32K,-0.48%
19-Feb-18,367.25,367.25,367.25,367.25,-,0.00%
18-Feb-18,367.25,367.25,367.25,367.25,-,-0.07%
16-Feb-18,367.5,368,368.5,366.5,185.26K,-0.07%
15-Feb-18,367.75,367,368.75,365.5,193.48K,0.14%
14-Feb-18,367.25,366.5,368.5,364.75,173.64K,0.14%
13-Feb-18,366.75,366.5,368.5,366,257.67K,-0.07%
12-Feb-18,367,365,367,364.25,264.08K,1.38%
9-Feb-18,362,364.75,365.5,361.5,254.70K,-1.03%
8-Feb-18,365.75,365,367.75,364.5,341.48K,0.14%
7-Feb-18,365.25,363.75,365.75,362.5,478.33K,0.48%
6-Feb-18,363.5,358.75,364,356.25,236.19K,1.32%
5-Feb-18,358.75,359.5,360.75,357.25,260.35K,-0.62%
4-Feb-18,361,361,361,361,-,-0.14%
2-Feb-18,361.5,361,362.5,359.5,198.99K,-0.07%
1-Feb-18,361.75,360.75,362,358.5,254.88K,0.07%
31-Jan-18,361.5,361.5,362,359.5,180.49K,0.00%
30-Jan-18,361.5,359.5,362.25,359,223.19K,0.77%
29-Jan-18,358.75,356.75,359.25,356.75,179.93K,0.63%
26-Jan-18,356.5,355,357,354.5,140.79K,0.35%
25-Jan-18,355.25,356,358,354.5,223.61K,-0.35%
24-Jan-18,356.5,351.25,357,349.75,326.30K,1.49%
23-Jan-18,351.25,351.75,352,349.5,204.57K,-0.21%
22-Jan-18,352,353.5,354.5,351.25,177.59K,-0.14%
19-Jan-18,352.5,351.5,354,351.25,145.95K,0.28%
18-Jan-18,351.5,352.5,354,350.5,186.65K,-0.42%
17-Jan-18,353,348.5,353.25,348.25,236.71K,1.36%
16-Jan-18,348.25,347.25,349.25,346,179.43K,0.58%
